Repo,Treatment,Latency_ms,Size_bytes
facebook/react,GRAPHQL_SIMPLE,405.4942500006291,99
facebook/react,GRAPHQL_SIMPLE,455.9016660005,99
facebook/react,REST_SIMPLE,446.0194169996612,6156
facebook/react,REST_COMPLEX,1429.0804169995681,113556
facebook/react,GRAPHQL_COMPLEX,410.47695799989015,1867
facebook/react,GRAPHQL_COMPLEX,792.9161250003744,1867
facebook/react,GRAPHQL_COMPLEX,538.4062500006621,1867
facebook/react,REST_SIMPLE,426.5321249995395,6156
facebook/react,GRAPHQL_COMPLEX,520.900208999592,1867
facebook/react,REST_COMPLEX,1257.3713339997994,113556
facebook/react,GRAPHQL_SIMPLE,365.3005830001348,99
facebook/react,REST_COMPLEX,1471.073833000446,113556
facebook/react,REST_SIMPLE,426.34662499949627,6156
facebook/react,REST_SIMPLE,412.70833299950027,6156
facebook/react,GRAPHQL_COMPLEX,421.3770830001522,1867
facebook/react,GRAPHQL_SIMPLE,448.57349999983853,99
facebook/react,REST_SIMPLE,424.4691249996322,6156
facebook/react,GRAPHQL_SIMPLE,576.0621669996908,99
facebook/react,GRAPHQL_COMPLEX,445.3164579999793,1867
facebook/react,GRAPHQL_COMPLEX,742.1548750007787,1867
facebook/react,GRAPHQL_COMPLEX,503.54691599932266,1867
facebook/react,REST_SIMPLE,427.15816700001596,6156
facebook/react,GRAPHQL_COMPLEX,1399.228000000221,1867
facebook/react,GRAPHQL_SIMPLE,1480.5754590006472,99
facebook/react,GRAPHQL_SIMPLE,405.5234589995962,99
facebook/react,REST_COMPLEX,2778.483000000051,113556
facebook/react,GRAPHQL_SIMPLE,390.29129199934687,99
facebook/react,REST_COMPLEX,2377.134999000191,113556
facebook/react,GRAPHQL_SIMPLE,708.9313329997822,99
facebook/react,GRAPHQL_COMPLEX,579.933582999729,1867
facebook/react,GRAPHQL_SIMPLE,454.32741699914914,99
facebook/react,REST_COMPLEX,1471.7801659999168,113556
facebook/react,GRAPHQL_COMPLEX,499.1751249999652,1867
facebook/react,GRAPHQL_SIMPLE,415.6569169999784,99
facebook/react,GRAPHQL_SIMPLE,661.751082999217,99
facebook/react,REST_SIMPLE,474.81129100015096,6156
facebook/react,REST_COMPLEX,1462.2579580000092,113556
facebook/react,GRAPHQL_COMPLEX,496.9461250002496,1867
facebook/react,GRAPHQL_SIMPLE,515.5982920005044,99
facebook/react,REST_SIMPLE,711.4860829997269,6156
facebook/react,REST_COMPLEX,1757.109875999049,113556
facebook/react,GRAPHQL_COMPLEX,512.1299170004932,1867
facebook/react,GRAPHQL_SIMPLE,763.7949170002685,99
facebook/react,REST_SIMPLE,487.1373329997368,6156
facebook/react,REST_SIMPLE,520.6910420001805,6156
facebook/react,REST_COMPLEX,2122.5025409994487,113556
facebook/react,REST_COMPLEX,1468.217667999852,113556
facebook/react,GRAPHQL_SIMPLE,361.9343749996915,99
facebook/react,REST_COMPLEX,1722.0699999998033,113556
facebook/react,GRAPHQL_COMPLEX,437.268583000332,1867
facebook/react,GRAPHQL_COMPLEX,1125.6178329995237,1867
facebook/react,GRAPHQL_COMPLEX,713.5288330000549,1867
facebook/react,REST_COMPLEX,2089.481250000972,113556
facebook/react,REST_SIMPLE,474.2239580000387,6156
facebook/react,GRAPHQL_SIMPLE,332.40762499917764,99
facebook/react,GRAPHQL_SIMPLE,375.37808300021425,99
facebook/react,GRAPHQL_COMPLEX,458.1758330004959,1867
facebook/react,GRAPHQL_COMPLEX,526.3290000002598,1867
facebook/react,REST_SIMPLE,398.19470800011914,6156
facebook/react,GRAPHQL_COMPLEX,432.05070799922396,1867
facebook/react,GRAPHQL_COMPLEX,632.2102910007743,1867
facebook/react,GRAPHQL_SIMPLE,716.653624999708,99
facebook/react,GRAPHQL_SIMPLE,655.9723330001361,99
facebook/react,REST_SIMPLE,432.83995799993136,6156
facebook/react,REST_SIMPLE,400.8374160002859,6156
facebook/react,GRAPHQL_SIMPLE,610.0907090003602,99
facebook/react,REST_COMPLEX,1351.4160829990942,113556
facebook/react,REST_COMPLEX,1348.1108330006464,113556
facebook/react,GRAPHQL_SIMPLE,414.98020800008817,99
facebook/react,GRAPHQL_SIMPLE,372.8734579999582,99
facebook/react,GRAPHQL_SIMPLE,519.7570419995827,99
facebook/react,REST_SIMPLE,387.6991249999264,6156
facebook/react,GRAPHQL_SIMPLE,379.2771250000442,99
facebook/react,GRAPHQL_COMPLEX,477.76770800010127,1867
facebook/react,REST_SIMPLE,728.8785829996414,6156
facebook/react,GRAPHQL_COMPLEX,522.7019590001873,1867
facebook/react,GRAPHQL_SIMPLE,354.4781669997974,99
facebook/react,GRAPHQL_COMPLEX,453.51041599951714,1867
facebook/react,REST_SIMPLE,448.3493340003406,6156
facebook/react,REST_SIMPLE,423.9302910000333,6156
facebook/react,GRAPHQL_COMPLEX,629.9628329998086,1867
facebook/react,REST_COMPLEX,1603.4170419989096,113556
facebook/react,GRAPHQL_COMPLEX,477.75937500045984,1867
facebook/react,REST_SIMPLE,540.048707999631,6156
facebook/react,GRAPHQL_COMPLEX,552.3645420007597,1867
facebook/react,GRAPHQL_SIMPLE,381.9655420002164,99
facebook/react,REST_SIMPLE,734.5938340004068,6156
facebook/react,GRAPHQL_SIMPLE,386.1690000003364,99
facebook/react,REST_COMPLEX,1400.8370830006243,113556
facebook/react,REST_SIMPLE,1121.3919159999932,6156
facebook/react,REST_COMPLEX,1587.4315830005798,113556
facebook/react,REST_COMPLEX,1475.4506250001214,113556
facebook/react,GRAPHQL_SIMPLE,735.5595840008391,99
facebook/react,REST_SIMPLE,514.5533339991744,6156
facebook/react,GRAPHQL_COMPLEX,415.975625000101,1867
facebook/react,REST_SIMPLE,406.5311249996739,6156
facebook/react,REST_SIMPLE,418.0958750002901,6156
facebook/react,REST_COMPLEX,2936.033832999783,113556
facebook/react,REST_SIMPLE,789.7783329999584,6156
facebook/react,GRAPHQL_SIMPLE,377.27575000008073,99
facebook/react,REST_SIMPLE,475.9048750001966,6156
facebook/react,REST_SIMPLE,407.7087499999834,6156
facebook/react,GRAPHQL_COMPLEX,1530.9724589997131,1867
facebook/react,REST_COMPLEX,1632.502375000513,113556
facebook/react,REST_COMPLEX,1379.3519590008145,113556
facebook/react,REST_SIMPLE,725.4480000001422,6156
facebook/react,REST_COMPLEX,1997.4162500002421,113556
facebook/react,GRAPHQL_COMPLEX,443.32049999957235,1867
facebook/react,GRAPHQL_SIMPLE,384.59004200012714,99
facebook/react,REST_COMPLEX,1792.6192920003814,113556
facebook/react,GRAPHQL_SIMPLE,404.7027500000695,99
facebook/react,REST_COMPLEX,1463.2577080001283,113556
facebook/react,GRAPHQL_SIMPLE,401.0578750003333,99
facebook/react,REST_COMPLEX,1475.8544160004021,113556
facebook/react,GRAPHQL_SIMPLE,1352.128291999179,99
facebook/react,GRAPHQL_COMPLEX,414.3361250007729,1867
facebook/react,REST_COMPLEX,1551.7474580001362,113556
facebook/react,REST_COMPLEX,1612.2499589992003,113556
facebook/react,REST_COMPLEX,1956.4174590013863,113556
facebook/react,GRAPHQL_COMPLEX,443.35387499995704,1867
facebook/react,REST_SIMPLE,469.02383399992686,6156
facebook/react,GRAPHQL_COMPLEX,400.72604100078024,1867
facebook/react,REST_SIMPLE,447.9409579998901,6156
facebook/react,GRAPHQL_COMPLEX,447.51875000019936,1867
facebook/react,REST_COMPLEX,1470.1934570011872,113556
facebook/react,REST_COMPLEX,1458.0132930004766,113556
facebook/react,REST_COMPLEX,1534.3778739998015,113556
facebook/react,GRAPHQL_SIMPLE,396.5891660000125,99
facebook/react,GRAPHQL_COMPLEX,555.824959000347,1867
facebook/react,REST_COMPLEX,1554.3928750003033,113556
facebook/react,REST_SIMPLE,496.357375000116,6156
facebook/react,REST_SIMPLE,428.20279199986544,6156
facebook/react,GRAPHQL_COMPLEX,442.220541000097,1867
facebook/react,REST_COMPLEX,1442.8404579994094,113556
